UTP,Unshielded Twisted Pair Cable
deletes,If a network device stops transmitting, the switch just _______ the entry to keep the table size small.
Wireshark,It is a software that monitors packets
IP address,A router looks at the _________ from the incoming packet and forwards it if it is intended for a workstation located on the other network. It changes the source MAC address to its MAC address and changes the destination MAC address to the workstation the traffic meant for.
Physical network,It is the hardware such as the cables, switches, hubs, and routers.
Logical network,It is the network addressing stuff.
IEEE, manufacturer,00:A3:03 : 51:OE:AC; first part assigned to the manufacturer by ________; second part determined by ____________
A IP address,________________ is made up of a network address and a host address. 198.168.100 . 1
Network address: 192.168.100
Host address: 1
host,It is the unique bit assigned to a particular network device
Subnet mask,192.168.100.0/24 It tells us that the first 24 bit, or 3 bytes, are the network address and is called the _____________.
Mac address, address resolution protocol,We retrieve IP addresses using the ________and _________
Ping command,It tells us if thr network and host are reachable or not
Traceroute command,It traces the route that the packets take to get to the destination IP address
Routing information protocol,RIP. It is a way of sharing network addresses. Routers use RIP to talk to each other, sharing their route information and allowing them to keep their route tables up-to-date
Hop-count,It is the number of routers a packet must "hop" through to get to a particular IP network
Open Shortest Path First (OSPF),OSPF
Autonomous system number,In order for routers to be neighbors, they must share a common IP subnet and a ______________
EIGRP,It uses the diffusing update algorithm
Router loop,It is where packets would just go from one router to the next and never get anywhere. They just go around the circle
Converge,A network is said to __________ when all the routers have the correct routing information for the network
Host name, domain name, fully qualified domain name,www.google.com 
www represents _________
google.com represents __________
.com represents ___________
Domain Name System (DNS),It translates fully qualified domain names that are meaningful to humans into IP addresses that computers understand
Dns zone file,It tells is about name servers, mail server and other servers
Reverse DNS,It let's us find a domain for an ip address
reverse DNS lookup,Fight against spam in email servers
Domain Information Groper (DIG),Command-line tool in non-Windows systems used to diagnose DNS problems.
troubleshooting,the process of analyzing a design problem and finding a way to fix it. Ping, computer to a router, show, interpret the statistics
Simple Network Management Protocol (SNMP),A protocol used to monitor and manage network devices, such as routers, switches, and servers.
Management Information Base,The information database of an SNMP managed device
Object identifier,The __________ of information in the MIB is called the OID
Syslogd daemon,It allows us to have all sorts of network devices send information to that server. That information normally would have being written to a local log file on that device
High Priority events,Memory errors, power supply voltages, interface status change
Moderate priority events,High network traffic, changes to configuration
Low priority events,Unable to reach some websites on internet, low network traffic
Radio waves,Wireless networks use ____ with the air being the transmission medium.
Dynamic Host Configuration Protocol (DHCP),An automated mechanism to assign IP addresses and IP configuration information over the network.
Network Address Translation (NAT),Translates the private IP address to a public address for routing over the Internet
802.11n,Boasts a maximum throughput of 600 Mbps. Range is 300m
802.11a,Uses channels in the 5-GHz band and provides a maximum theoretical throughput of 54 Mbps. Range is 35m
802.11b,11 Mbps. Range is 35m
port mapping,Specifying a port in the address table for a particular device, and any traffic that comes in on this port is forwarded to the corresponding device
Address Resolution Protocol (ARP),Part of the TCP/IP protocol for determining the MAC address based on the IP address.
Denial of Service (DoS),An attack that attempts to prevent a system from performing its normal functions.
man in the middle,hacker places themselves between client and host
MAC flooding,What attack, if successful, causes a switch to function like a hub?
Intrusion Detection System (IDS),A device designed to be active security; it can detect an attack as it occurs.
Access Control List (ACL),The list of permissions granted or denied that is attached to a file or folder.
Firewall,Part of a computer system that is designed to block unauthorized access
Static Packet Filtering,Firewall that examines header info of every packet. Fast but easy to defeat.
stateful packet filter,A packet filter that applies rules to related packets within the same network session.
social engineering,using deception to obtain unauthorized access to information resources
blueprint,a detailed outline or plan for a building
Star Topology,A network topology in which all computers in the network connect to a central wiring point.
Bus Topology,The computers share the media (coaxial cable) for data transmission
Token Ring Topology,A network topology configured in a logical ring that complements the token passing protocol
virtual local area network (VLAN),Logical subgroup within a LAN created with software instead of hardware.
Border Gateway Protocol (BGP),An ISP protocol that allows routers to share information about routes with each other.
Virtual Private Network (VPN),A connection between two or more computers or devices that are not on the same private network.
